City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Buta,CD,2.7858,24.73,69.85,98,95,1.86,overcast clouds
250,Puerto Quijarro,BO,-17.7833,-57.7667,85.17,33,76,2.89,broken clouds
251,Ulladulla,AU,-35.35,150.4667,67.1,67,100,8.77,moderate rain
252,Faya,SA,18.3851,42.4509,59.11,52,66,1.81,broken clouds
253,Kavieng,PG,-2.5744,150.7967,82.83,75,100,5.91,overcast clouds
254,Shache,CN,38.4167,77.2406,66.7,27,30,7.36,scattered clouds
255,Paka,MY,4.6374,103.4368,76.98,94,98,0.0,overcast clouds
256,Belomorsk,RU,64.5232,34.7668,26.83,81,76,6.93,broken clouds
257,Saldanha,ZA,-33.0117,17.9442,60.03,85,77,3.56,broken clouds
258,Kahului,US,20.8947,-156.47,84.22,48,40,23.02,scattered clouds
259,Waddan,LY,29.1614,16.139,68.2,38,0,7.85,clear sky
260,Skibbereen,IE,51.55,-9.2667,50.11,87,100,2.62,overcast clouds
261,Nizhniy Tsasuchey,RU,50.5167,115.1333,33.06,35,44,6.08,scattered clouds
262,Mandalgovi,MN,45.7625,106.2708,33.06,36,4,8.23,clear sky
263,Havoysund,NO,70.9963,24.6622,28.63,69,100,23.17,snow
264,Mozarlandia,BR,-14.7447,-50.5706,78.73,41,0,1.72,clear sky
265,Hasaki,JP,35.7333,140.8333,46.8,73,34,28.92,scattered clouds
266,Kavaratti,IN,10.5669,72.642,85.01,76,85,11.07,heavy intensity rain
267,Nishihara,JP,26.1842,127.7558,70.88,83,100,11.5,overcast clouds
268,Santa Rosalia,MX,27.3167,-112.2833,71.67,35,2,5.32,clear sky
269,Nago,JP,26.5881,127.9761,70.65,77,78,7.78,broken clouds
270,Provideniya,RU,64.3833,-173.3,33.73,93,100,15.46,light snow
271,Omsukchan,RU,62.5333,155.8,23.88,88,100,8.59,overcast clouds
272,Khatanga,RU,71.9667,102.5,19.2,96,100,10.09,overcast clouds
273,Tottori,JP,35.5,134.2333,51.87,62,20,12.66,few clouds
274,Deputatskiy,RU,69.3,139.9,11.17,89,37,2.08,scattered clouds
275,Sinnamary,GF,5.3833,-52.95,79.43,84,87,12.68,overcast clouds
276,Kirakira,SB,-10.4544,161.9205,81.75,78,100,2.13,overcast clouds
277,Yendi,GH,9.4427,-0.0099,87.55,40,86,5.88,overcast clouds
278,Xuanhua,CN,40.6103,115.0447,43.3,29,54,6.26,broken clouds
279,Fairbanks,US,64.8378,-147.7164,53.24,44,0,1.99,clear sky
280,Cauquenes,CL,-35.9671,-72.3225,56.01,46,44,5.1,scattered clouds
281,Natal,BR,-5.795,-35.2094,81.25,74,20,8.05,few clouds
282,Ngunguru,NZ,-35.6167,174.5,64.71,72,20,15.55,few clouds
283,Hervey Bay,AU,-25.2986,152.8535,74.1,73,47,10.92,scattered clouds
284,Nha Trang,VN,12.25,109.1833,75.2,91,100,5.55,overcast clouds
285,Isangel,VU,-19.55,169.2667,75.31,78,100,11.5,overcast clouds
286,Tacna,PE,-18.0056,-70.2483,64.6,63,0,9.22,clear sky
287,Lavrentiya,RU,65.5833,-171.0,32.4,92,69,7.9,broken clouds
288,Cascais,PT,38.6979,-9.4215,66.47,58,0,15.01,clear sky
289,Kargat,RU,55.1956,80.2811,58.14,55,100,8.43,overcast clouds
290,Narsaq,GL,60.9167,-46.05,50.22,78,90,3.33,overcast clouds
291,Atar,MR,20.5169,-13.0499,81.79,13,66,8.72,broken clouds
292,Oromocto,CA,45.8351,-66.4792,40.93,82,100,19.57,moderate rain
293,Kutum,SD,14.2,24.6667,78.6,12,20,4.61,few clouds
294,Yumen,CN,40.2833,97.2,43.11,42,94,6.87,overcast clouds
295,Rocha,UY,-34.4833,-54.3333,48.83,71,21,4.88,few clouds
296,Macerata,IT,43.2,13.1667,47.8,76,2,2.62,clear sky
297,Queimadas,BR,-10.9783,-39.6264,76.84,66,100,11.9,overcast clouds
298,Franklin,US,39.9667,-83.0166,66.79,31,75,9.22,broken clouds
299,Laizhou,CN,37.1717,119.9214,53.6,73,100,5.21,overcast clouds
300,Praia,CV,14.9215,-23.5087,72.14,68,20,18.41,few clouds
301,Gubkinskiy,RU,64.434,76.5026,8.26,100,66,7.4,broken clouds
302,Batemans Bay,AU,-35.7167,150.1833,65.1,65,100,7.49,light rain
303,Rio Gallegos,AR,-51.6226,-69.2181,44.65,65,0,6.91,clear sky
304,Thinadhoo,MV,0.5333,72.9333,85.24,70,85,9.89,overcast clouds
305,Emba,KZ,48.8264,58.1442,61.25,66,100,6.8,overcast clouds
306,Mount Isa,AU,-20.7333,139.5,73.17,60,10,4.61,clear sky
307,Kanniyakumari,IN,8.0833,77.5667,83.32,84,76,15.37,broken clouds
308,Fortuna,US,40.5982,-124.1573,64.92,54,0,14.97,clear sky
309,Togur,RU,58.3631,82.8265,50.43,94,94,7.18,light rain
310,Port Hedland,AU,-20.3167,118.5667,71.65,78,100,5.75,overcast clouds
311,Labuhan,ID,-6.8844,112.2051,79.56,86,71,4.54,broken clouds
312,Cap Malheureux,MU,-19.9842,57.6142,72.46,79,4,1.99,clear sky
313,Jinchang,CN,38.4953,102.1739,42.57,43,100,3.02,overcast clouds
314,Zambezi,ZM,-13.5432,23.1047,61.92,77,12,3.76,few clouds
315,Port Blair,IN,11.6667,92.75,82.31,76,62,2.8,broken clouds
316,Talnakh,RU,69.4865,88.3972,-2.15,94,83,2.44,broken clouds
317,Namibe,AO,-15.1961,12.1522,74.32,70,51,3.47,broken clouds
318,Ruston,US,32.5232,-92.6379,85.59,32,0,10.36,clear sky
319,Jijiga,ET,9.35,42.8,66.52,77,98,6.87,light rain
320,Erenhot,CN,43.6475,111.9767,38.59,24,1,6.11,clear sky
321,Akureyri,IS,65.6835,-18.0878,51.73,54,40,9.22,scattered clouds
322,Puerto Colombia,CO,10.9878,-74.9547,86.09,80,96,19.82,overcast clouds
323,Muros,ES,42.7762,-9.0603,60.1,76,5,4.07,clear sky
324,Caravelas,BR,-17.7125,-39.2481,75.47,80,12,4.36,few clouds
325,Vila Velha,BR,-20.3297,-40.2925,80.55,84,0,6.91,clear sky
326,Margate,GB,51.3813,1.3862,47.7,76,82,7.0,broken clouds
327,Wainwright,CA,52.839,-110.8572,53.76,38,64,7.78,broken clouds
328,Mubi,NG,10.2676,13.2644,81.66,49,64,4.45,broken clouds
329,Abohar,IN,30.15,74.1833,86.43,11,0,1.66,clear sky
330,Santa Marta,CO,11.2408,-74.199,91.45,55,75,13.8,broken clouds
331,Upernavik,GL,72.7868,-56.1549,21.87,84,100,16.53,overcast clouds
332,Nouadhibou,MR,20.931,-17.0347,66.18,77,40,19.57,scattered clouds
333,Flinders,AU,-34.5833,150.8552,67.28,87,100,7.0,light rain
334,Torbay,CA,47.6666,-52.7314,43.88,95,100,4.61,light intensity drizzle
335,Vulcan,RO,45.3833,23.2667,44.96,97,56,3.47,broken clouds
336,Senlis,FR,49.25,2.6667,53.49,87,4,9.31,clear sky
337,Meulaboh,ID,4.1363,96.1285,77.04,90,60,3.36,broken clouds
338,Bacolod,PH,10.6667,122.95,78.71,83,76,6.15,broken clouds
339,Lichinga,MZ,-13.3128,35.2406,59.09,100,20,5.75,few clouds
340,Oktyabrskoye,RU,43.0645,44.7417,53.74,100,75,2.24,broken clouds
341,Dikson,RU,73.5069,80.5464,9.52,94,100,19.42,overcast clouds
342,Tessalit,ML,20.1986,1.0114,82.49,8,0,4.68,clear sky
343,Palana,RU,59.1167,159.9667,28.04,76,10,7.29,clear sky
344,Tukrah,LY,32.5341,20.5791,62.74,80,12,12.3,few clouds
345,Praya,CV,14.9215,-23.5087,72.14,68,20,18.41,few clouds
346,Holme,DK,56.1138,10.1725,44.17,71,55,9.82,broken clouds
