City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Chokurdakh,RU,2022-04-25 20:28:41,70.6333,147.9167,6.75,93,98,4.88
188,Phalaborwa,ZA,2022-04-25 20:28:42,-23.943,31.1411,70.88,79,23,6.38
189,Torbay,CA,2022-04-25 20:28:42,47.6666,-52.7314,39.76,93,100,16.11
190,Hofn,IS,2022-04-25 20:28:42,64.2539,-15.2082,40.48,93,100,10.67
191,Abalak,RU,2022-04-25 20:28:43,58.1286,68.5944,41.31,94,55,5.1
192,Khudumelapye,BW,2022-04-25 20:28:43,-23.8833,24.75,63.59,56,6,8.34
193,Kapaa,US,2022-04-25 20:28:44,22.0752,-159.319,78.78,79,100,18.41
194,Kruisfontein,ZA,2022-04-25 20:28:44,-34.0033,24.7314,55.89,85,2,6.62
195,New Norfolk,AU,2022-04-25 20:28:44,-42.7826,147.0587,49.87,88,90,2.37
196,Qazvin,IR,2022-04-25 20:28:45,36.2797,50.0049,55.02,88,0,2.3
197,Cody,US,2022-04-25 20:27:20,44.5263,-109.0565,57.92,26,40,10.36
198,Lompoc,US,2022-04-25 20:28:46,34.6391,-120.4579,86.14,59,0,18.41
199,Faya,SA,2022-04-25 20:28:46,18.3851,42.4509,64.51,52,0,5.68
200,Bima,ID,2022-04-25 20:28:46,-8.4667,118.7167,73.11,85,100,2.86
201,Muros,ES,2022-04-25 20:28:47,42.7762,-9.0603,56.84,73,90,6.08
202,Straumen,NO,2022-04-25 20:28:47,63.8709,11.2999,41.0,80,28,8.05
203,Khatanga,RU,2022-04-25 20:28:47,71.9667,102.5,-12.37,100,100,4.41
204,Port Hardy,CA,2022-04-25 20:24:39,50.6996,-127.4199,42.98,87,100,6.91
205,Kenai,US,2022-04-25 20:28:48,60.5544,-151.2583,48.02,74,0,3.44
206,Maunabo,PR,2022-04-25 20:28:49,18.0072,-65.8993,83.7,76,66,14.12
207,Nova Olimpia,BR,2022-04-25 20:28:50,-14.7972,-57.2881,90.81,55,44,2.55
208,Cabo San Lucas,MX,2022-04-25 20:28:19,22.8909,-109.9124,84.61,61,0,4.0
209,Batman,TR,2022-04-25 20:23:59,37.8874,41.1322,62.4,67,0,5.75
210,Codrington,AU,2022-04-25 20:28:50,-38.2667,141.9667,56.37,74,100,9.13
211,San Angelo,US,2022-04-25 20:25:05,31.4638,-100.437,64.62,45,20,19.57
